cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
1143,10296,680354,1206546,The Morrill and Janes Bank and Trust Company,Merriam,KS,66204,6/30/2015,8/16/2015,NM,6740 Antioch Road,"HEARTLAND FINANCIAL USA, INC.",8,0,1,4,0,Johnson,28140,"Kansas City, MO-KS",1/4/1871,1/1/1934,11/28/2012,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,Western,0,0,http://www.mjbtrc.com,15451,1574,13877,2944,1624,12,404,0,1208,10336,4294,679,5363,2221,2806,1805,3222,0,3222,0,3222,501,1500,0,1426.16
3358,14047,770068,1103515,The Morris County National Bank of Naples,Naples,TX,75568,6/30/2015,8/16/2015,N,101 W.L. Doc Dodson East,"MORRIS COUNTY BANKSHARES, INCORPORATED",2,0,0,8,1,Morris,,,8/15/1893,1/1/1934,6/1/2010,Stock,0,0,OCC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1,http://www.morriscountybank.com,1860,184,1676,27,370,0,200,0,170,1446,805,172,469,573,39,0,612,0,612,0,612,86,455,0,573
32907,11195,1826382,1208595,"The Morris Plan Company of Terre Haute, Inc.",Terre Haute,IN,47808,6/30/2015,8/16/2015,NM,817 Wabash Avenue,FIRST FINANCIAL CORPORATION,1,0,0,6,0,Vigo,45460,"Terre Haute, IN",7/27/1962,3/23/1990,8/15/2007,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,,4831,262,4569,900,25,0,0,0,25,1435,555,82,798,2259,0,891,1368,0,1368,0,1368,790,960,0,1368
429,15929,95659,2052777,The Morris State Bank,Morris,OK,74445,6/30/2015,8/16/2015,SM,800 West Ozark Street,"MABREY BANCORPORATION, INC.",1,0,0,8,1,Okmulgee,46140,"Tulsa, OK",12/1/1929,1/1/1934,3/31/2006,Stock,0,0,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1,http://www.morrisstatebank.com,1786,174,1612,24,321,0,190,0,131,1148,643,156,349,761,0,0,761,0,761,0,761,20,650,0,761
9438,0,274025,2266873,The Mt. Victory State Bank,Mount Victory,OH,43340,6/30/2015,8/16/2015,NM,103 S Main St,"VICTORY BANCSHARES, INC.",1,0,0,7,0,Hardin,,,9/14/1929,1/1/1934,12/8/2011,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.mtvictorybank.com,245,14,231,3,31,0,22,0,9,231,113,33,85,28,0,2,26,0,26,0,26,4,0,0,26
10678,9219,141211,1364035,The Muncy Bank and Trust Company,Muncy,PA,17756,6/30/2015,8/16/2015,NM,2 N Main Street,"MUNCY BANK FINANCIAL, INC.",6,0,0,5,0,Lycoming,48700,"Williamsport, PA",11/1/1893,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,New York,NEW YORK,Wexford,Philadelphia,Northeastern,Northeast,0,1,http://WWW.MUNCYBANK.COM,7630,1028,6602,150,883,73,165,0,645,4344,2628,400,1316,2991,9,741,2259,0,2259,0,2259,47,755,0,2252.25
35161,15834,2819242,0,The Murray Bank,Murray,KY,42071,6/30/2015,8/16/2015,SA,405 South 12th Street,,3,0,0,8,0,Calloway,,,6/15/1999,6/15/1999,7/21/2011,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Hopkinsville,St. louis,Central,Southeast,0,1,www.themurraybank.com,4541,852,3689,132,754,0,319,0,435,2815,1385,277,1153,1496,100,479,1117,0,1117,0,1117,15,444,0,1047
10653,0,40350,1054671,The Murray State Bank,Murray,NE,68409,6/30/2015,8/16/2015,NM,102 West Main Street,SWEDLUND MANAGEMENT COMPANY,1,0,0,2,0,Cass,36540,"Omaha-Council Bluffs, NE-IA",9/1/1900,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Omaha,Kansas City,Western,West,0,1,http://www.murraystatebank.com,799,103,696,0,90,0,32,0,58,596,382,46,168,190,5,48,147,0,147,0,147,0,0,0,143.25
10101,0,944047,1210525,The Napoleon State Bank,Napoleon,IN,47034,6/30/2015,8/16/2015,NM,8912 N Ushwy 421,NAPOLEON BANCORP,4,0,0,2,0,Ripley,,,12/9/1903,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,http://www.napoleonstatebank.com,4223,658,3565,180,665,2,166,0,497,2382,1324,386,672,1668,0,623,1045,0,1045,0,1045,133,91,0,1045
10036,15738,534345,1827893,The National Bank & Trust Company of Sycamore,Sycamore,IL,60178,6/30/2015,8/16/2015,N,230 West State Street,NI BANCSHARES CORPORATION,11,0,0,4,0,De Kalb,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1/29/1867,1/1/1934,4/20/2006,Stock,0,1,OCC,DIF,Chicago,CHICAGO,Princeton,Chicago,Central,Central,0,1,www.banknbt.com,10465,1064,9401,375,4223,2490,996,0,737,11690,6891,1556,3243,1559,527,647,1439,0,1439,0,1439,248,0,0,1075.37
6728,0,290922,0,The National Bank of Adams County of West Union,West Union,OH,45693,6/30/2015,8/16/2015,N,28 North Market,,1,0,0,2,1,Adams,,,4/28/1928,1/1/1934,11/1/2012,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,http://www.nbaconline.com,1209,155,1054,19,85,0,44,0,41,1030,435,89,506,90,0,0,90,0,90,0,90,23,300,0,90
17603,14211,488653,2348087,The National Bank of Andrews,Andrews,TX,79714,6/30/2015,8/16/2015,N,1501 North Main Street,"ANDREWS BANCSHARES, INC.",4,0,0,4,1,Andrews,,,11/12/1945,5/18/1956,3/31/2006,Stock,0,0,OCC,DIF,Dallas,DALLAS,Lubbock,Dallas,Southern,West,0,1,www.nbabankonline.com,3369,100,3269,144,2693,0,273,0,2420,3350,1988,307,1055,2468,0,0,2468,0,2468,0,2468,15,2668,0,2468
6821,0,754929,1139925,The National Bank of Blacksburg,Blacksburg,VA,24060,6/30/2015,8/16/2015,N,100 South Main Street,"NATIONAL BANKSHARES, INC.",26,0,0,4,0,Montgomery,13980,"Blacksburg-Christiansburg-Radford, VA",1/1/1891,1/1/1934,5/26/2006,Stock,0,1,OCC,DIF,Atlanta,ATLANTA,Richmond,Richmond,Northeastern,Southeast,0,1,www.nbbank.com,21518,2139,19379,556,3873,588,996,0,2289,11982,5502,935,5545,10714,3,2412,8305,0,8305,0,8305,688,3686,0,8302.69
