cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
29087,2889,955977,0,BANK'34,Alamogordo,NM,88310,6/30/2015,8/16/2015,SA,500 10th Street,,5,0,1,4,0,Otero,,,8/1/1934,11/2/1934,8/30/2014,Stock,0,0,OCC,DIF,Dallas,DALLAS,Albuquerque,Dallas,Western,West,0,1,http://www.bank34.com,76,271150,3838,1304,32923,15860,198248,2068,0,9908,648,490,9235,271150,241820,211855,181567,211855,81.17684262,0,0,27817,0,2148,29330,29330,0,1,10855,18474,0,1131,82,665,248335,117105,257410.33,262293,196098,260055,5289,2971,0,2318,35835,1711,27500,12404,25695,29368,2068,25695,18237
57074,0,3010363,3780938,bankcda,Coeur D Alene,ID,83814,6/30/2015,8/16/2015,NM,912 Northwest Boulevard,COEUR D'ALENE BANCORP,4,0,0,4,0,Kootenai,17660,"Coeur d'Alene, ID",5/17/2001,5/17/2001,8/9/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Salt Lake City,San Francisco,Western,Western,0,1,www.bankcda.com,26,95901,9733,7373,21475,1550,54222,1044,0,5082,20,244,3575,95901,86174,83336,64680,83336,83.58047797,0,0,2642,0,196,9727,9727,0,6488,1857,1382,0,1236,353,185,84620,14774,95485,96394,70190,96141,2157,1036,0,1121,900,630,2642,0,9033,9255,883,9033,0
22434,13150,436739,1249048,"BankChampaign, National Association",Champaign,IL,61820,6/30/2015,8/16/2015,N,2101 South Neil,"MARKET PLACE BANCSHARES, INC.",2,0,0,4,1,Champaign,16580,"Champaign-Urbana, IL",3/14/1977,3/14/1977,3/31/2006,Stock,0,1,OCC,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,http://www.bankchampaign.com,39,208691,10650,6739,32053,0,155744,2341,0,3529,612,0,6103,208691,192187,183676,162870,183676,90.21572948,2024,0,5000,0,1487,16504,16504,0,400,9569,6535,0,658,0,737,194536,18095,210674,211334,159410,208763,2655,1326,0,1329,7487,4422,5000,1426,11527,16367,1997,11527,0
8537,10311,748254,1128228,BankCherokee,Saint Paul,MN,55107,6/30/2015,8/16/2015,NM,607 South Smith Avenue,"CHEROKEE BANCSHARES, INC.",4,0,0,4,0,Ramsey,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1/15/1908,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,http://www.bankcherokee.com,54,255504,18047,14808,70797,0,151091,1742,0,2848,2563,0,10158,255504,236109,226126,171458,226126,87.29022301,7842,0,1000,0,1141,19395,19395,0,200,18112,1083,0,2623,0,644,236696,55209,261147.67,261083.5,153215,261609,6453,6453,0,0,15065,49,1000,0,23886,19071,1742,23886,0
57484,0,3142358,1201671,Bankers Trust Company,Cedar Rapids,IA,52401,6/30/2015,8/16/2015,NM,"221 Third Avenue, Southeast",BTC FINANCIAL CORPORATION,3,0,0,4,0,Linn,16300,"Cedar Rapids, IA",12/16/2002,12/16/2002,9/23/2013,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Cedar Rapids,Chicago,Western,Western,0,1,www.bankerstrust.com,45,487409,8030,2279,31462,0,431159,8362,0,2822,766,0,13170,487409,439370,318611,274201,318611,58.73073089,16381,0,98837,0,5541,48039,48039,0,12350,14350,21339,0,171,0,1353,464900,48412,477040.33,487247,456544,484806,669,669,0,0,75422,260,98800,5118,136918,47941,5740,136918,137044
953,11653,811046,1201671,Bankers Trust Company,Des Moines,IA,50309,6/30/2015,8/16/2015,NM,453 7th Street,BTC FINANCIAL CORPORATION,22,0,1,4,0,Polk,19780,"Des Moines-West Des Moines, IA",6/1/1917,1/1/1934,12/31/2009,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Des Moines,Chicago,Western,Western,0,1,www.bankerstrust.com,479,3258757,242826,172169,419001,1450,2497774,38365,0,18126,829,0,78751,3258757,2986149,2533080,1582363,2533080,39.75284717,202464,0,210000,0,40605,272608,272608,6000,38903,74276,153429,0,7657,0,7584,3090394,514965,3198130,3233651.5,2920510,3230052,16146,16146,0,0,288446,2895,210000,26356,1174900,270822,36533,1174900,923569
23537,0,408642,1209958,Bankers' Bank,Madison,WI,53717,6/30/2015,8/16/2015,SM,7700 Mineral Point Road,"BANKERS' BANCORPORATION, INC.",1,0,0,7,0,Dane,31540,"Madison, WI",9/1/1981,9/1/1981,3/31/2006,Stock,0,0,FED,DIF,Chicago,CHICAGO,Madison,Chicago,Central,Central,0,0,www.bankersbankusa.com,111,381601,105822,103335,23851,150988,68730,6255,974,3010,115,2865,25246,381601,317662,207457,13781,207457,45.03370933,99285,0,2094,0,8826,63939,63939,0,4257,6831,52851,0,4923,0,328,347878,8446,400760,384056.5,140693,417094,16042,14082,0,1960,100595,9750,0,2517,100373,63922,1814,100373,0
27351,0,1218446,1250754,Bankers' Bank of Kansas,Wichita,KS,67208,6/30/2015,8/16/2015,SM,555 N Woodlawn St,"BBOK BANCSHARES, INC.",1,0,0,4,0,Sedgwick,48620,"Wichita, KS",10/5/1988,10/5/1988,12/27/2012,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,0,WWW.BBOK.COM,51,166518,29266,15559,8235,13215,106110,3229,0,1363,1937,0,6392,166518,144587,140050,52818,140050,51.50189789,0,0,1500,0,3037,21931,21931,0,750,3478,17703,0,1795,0,423,143119,1290,175141.33,173701.5,127817,179185,2197,2197,0,0,1500,72,1500,0,113063,21846,1617,113063,0
23210,0,732758,2249401,Bankers' Bank of the West,Denver,CO,80202,6/30/2015,8/16/2015,SM,"1099 18th St., Suite 2700","BANKERS' BANK OF THE WEST BANCORP, INC.",1,0,0,4,0,Denver,19740,"Denver-Aurora-Lakewood, CO",10/1/1980,10/1/1980,12/13/2011,Stock,0,0,FED,DIF,Dallas,DALLAS,Denver,Kansas City,Western,Western,0,0,www.bbwest.com,48,359564,74740,64728,44206,21837,201179,4497,0,436,2777,0,14389,359564,317202,304135,159499,304135,64.48089048,0,0,0,0,13067,42362,42362,0,1234,15091,26037,0,71,0,1019,331950,53002,357543,361762.5,235788,360103,8201,6026,0,2175,0,467,0,0,102207,39865,2984,102207,0
34858,0,2722173,0,"Bankers' Bank, Northeast",Glastonbury,CT,6033,6/30/2015,8/16/2015,SM,"43 Western Blvd, # 125",,1,0,0,7,0,Hartford,25540,"Hartford-West Hartford-East Hartford, CT",9/8/1998,9/8/1998,6/1/2013,Stock,0,0,FED,DIF,New York,NEW YORK,Hartford,Boston,Northeastern,Northeast,0,0,http://www.bbnfirst.com,32,179944,89399,75407,53785,0,30293,556,0,369,0,211,5887,179944,162843,141245,3544,141245,32.30794282,15621,0,5000,0,977,17101,17101,1639,11385,0,4077,0,515,0,192,159485,30089,145529,155514,49837,169744,3285,2205,0,1080,15621,0,5000,0,6207,16665,565,6207,0
